,cbg,before,after,instrument
358,060014339004,0.5,0.0,0.0
359,060014340001,4.0,4.0,0.0
360,060014340002,10.125,0.0,0.0
361,060014340003,5.5,0.0,0.0
362,060014351021,8.0,0.0,0.5
363,060014351031,3.0,0.0,0.0
364,060014351032,10.5,0.0,0.5
365,060014351033,12.0,4.0,0.6666666666666666
366,060014351041,2.0,0.0,0.0
367,060014351042,12.5,4.0,0.6458333333333333
368,060014351043,4.0,0.0,1.0
369,060014352001,15.5,13.0,0.5904977375565611
370,060014353001,0.5,0.0,0.0
371,060014353002,0.5,0.0,0.0
372,060014353003,8.0,0.0,0.0
373,060014354001,6.0,4.0,0.7916666666666666
374,060014354002,8.5,0.0,0.0
375,060014354003,8.0,4.0,1.0
376,060014355001,4.0,0.0,1.0
377,060014355003,3.0,0.0,0.0
378,060014356011,15.0,4.0,0.5333333333333333
379,060014356012,4.0,4.0,1.0
380,060014356021,6.0,0.0,0.0
381,060014356023,10.0,4.0,0.0
382,060014356024,8.0,4.0,1.0
383,060014357001,11.0,4.0,0.75
384,060014357002,4.0,4.0,1.0
385,060014357003,8.0,4.0,0.0
386,060014357004,19.0,18.0,0.7424242424242424
387,060014358001,3.5,0.0,0.0
388,060014358002,4.0,4.0,0.0
389,060014358003,4.0,0.0,0.0
390,060014358004,7.0,0.0,0.625
391,060014359002,20.5,9.0,0.19607843137254902
392,060014359003,2.0,0.0,0.0
393,060014360001,12.0,4.0,0.0
394,060014360002,4.0,0.0,1.0
395,060014361002,16.0,9.0,0.17647058823529413
396,060014361003,7.5,0.0,0.5625
397,060014362001,4.0,4.0,1.0
398,060014362002,5.5,0.0,0.0
399,060014363002,16.0,8.0,0.5
400,060014363003,4.0,0.0,1.0
401,060014363004,13.5,12.0,0.6041666666666666
402,060014364011,8.0,8.0,0.5
403,060014364012,26.5,4.0,0.30629370629370634
404,060014364013,8.0,8.0,0.0
405,060014364014,4.0,0.0,0.0
406,060014364015,4.0,4.0,0.0
407,060014364021,2.5,0.0,0.0
408,060014365001,19.0,8.0,0.425
409,060014365002,16.0,8.0,0.5
410,060014366011,6.0,6.0,1.0
411,060014366012,4.0,4.0,0.0
412,060014366013,17.0,17.0,0.23529411764705885
413,060014366021,24.0,20.0,0.5
414,060014366022,20.0,8.0,0.6
415,060014367001,8.0,0.0,0.5
416,060014368001,6.0,5.0,0.8888888888888888
