,before,after,instrument
282,4.0,0.0,0.0
283,6.5,5.0,0.8333333333333334
284,26.5,4.0,0.32954545454545453
285,24.0,4.0,0.0
286,31.5,18.0,0.4556766762649115
287,36.0,20.0,0.22222222222222227
288,44.375,32.0,0.0
289,3.5,0.0,0.0
290,16.0,4.0,0.25
291,4.0,0.0,0.0
292,21.0,8.0,1.0
293,6.0,0.0,0.75
294,7.75,0.0,0.0
295,44.0,16.0,0.45811480186480186
296,5.0,5.0,0.0
297,8.0,4.0,0.5
298,47.5,16.0,0.7373800584063412
299,15.0,0.0,0.0
300,30.0,12.0,0.6882440476190477
301,25.5,8.0,0.33075396825396824
302,52.0,34.0,0.578743961352657
303,19.0,8.0,0.6375
304,8.0,4.0,0.0
305,9.5,4.0,0.4375
306,13.0,8.0,0.3125
307,8.0,0.0,0.5
308,8.0,4.0,0.5
309,21.5,16.0,0.7547619047619046
310,16.5,8.0,0.4875
311,3.0,0.0,0.0
312,4.0,4.0,1.0
313,8.0,4.0,1.0
314,20.0,12.0,0.19999999999999998
315,19.5,4.0,0.4663865546218487
316,39.5,28.0,0.9170454545454546
317,10.0,4.0,0.8541666666666666
318,32.0,14.0,0.44132730015082955
319,12.0,4.0,0.3333333333333333
320,28.0,12.0,0.0
321,8.0,0.0,0.5
322,14.0,8.0,0.5714285714285713
323,16.0,0.0,0.0
324,30.5,12.0,0.40178571428571425
325,16.0,0.0,0.5
326,25.0,12.0,0.64
327,6.0,6.0,0.0
328,24.5,8.0,0.5625
329,9.5,8.0,0.4375
