,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,base,size
11507,sg:f92116fb5eeb4168b57ddc92a2723557,Mission Ebenezer Family Church,33.842223,-118.28366100000001,Carson,CA,90745,06,06037,Los Angeles County,060375435011,23.0,25.0,28.0,18.0,0.0,3.0,2.0,26.5,2.0
11508,sg:f9288284716f400eb07fec7f2d18404d,Church of Christ,37.68026,-122.136024,San Lorenzo,CA,94580,06,06001,Alameda County,060014358004,49.0,53.0,39.0,31.0,7.0,10.0,15.0,46.0,3.0
11509,sg:f929434f52bf4f258009bb1705ee9d9b,Cornerstone Church,37.132653999999995,-121.62698999999999,Morgan Hill,CA,95037,06,06085,Santa Clara County,060855123091,28.0,11.0,4.0,7.0,0.0,7.0,3.0,7.5,0.0
11510,sg:f932b5f01c3543398d272a359457ac5e,Abundant Life Community Church,39.230118,-121.07156200000001,Grass Valley,CA,95945,06,06057,Nevada County,060570005011,45.0,43.0,38.0,25.0,5.0,14.0,15.0,40.5,3.0
11511,sg:f93afed5f78d410b80b2dfed3904bb1b,Los Angeles Restoration Church,34.006727000000005,-118.278126,Los Angeles,CA,90037,06,06037,Los Angeles County,060372318002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11512,sg:f9412ebec13e466e983c376ba1301b6e,St Paul's Catholic Church,37.957287,-122.342141,San Pablo,CA,94806,06,06013,Contra Costa County,060133690013,161.0,102.0,135.0,69.0,7.0,11.0,29.0,118.5,5.0
11513,sg:f942228297be4755bdac8b4845637b62,Grantland Avenue Southern Baptist Church,36.830076,-119.916133,Fresno,CA,93723,06,06019,Fresno County,060190042071,51.0,58.0,35.0,35.0,35.0,45.0,44.0,46.5,3.0
11514,sg:f956b42517dc48f4b5d538c4477d40fb,Open Door Community Church,40.516735,-121.79006299999999,Shingletown,CA,96088,06,06089,Shasta County,060890126031,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.5,0.0
11515,sg:f957cf5f553f41e1b8dd00ce00c25adb,The Church of Jesus Christ of Latter day Saints,36.828179999999996,-119.852818,Fresno,CA,93711,06,06019,Fresno County,060190042143,82.0,112.0,103.0,70.0,17.0,15.0,36.0,107.5,5.0
11516,sg:f95932a0eedb47db8995153911c069a5,Lirio De Los Valles Assemblies of God,36.608562,-119.524651,Parlier,CA,93648,06,06019,Fresno County,060190068021,25.0,26.0,20.0,11.0,15.0,15.0,15.0,23.0,2.0
11517,sg:f962b190920648419a6a43d9df36519d,Living Word Fellowship Church,36.545237,-119.409254,Dinuba,CA,93618,06,06107,Tulare County,061070005021,17.0,17.0,20.0,12.0,2.0,3.0,2.0,18.5,1.0
11518,sg:f964d856bf9440deaa500b8106baad35,Valencia Hills Community Church,34.439578999999995,-118.57248200000001,Valencia,CA,91355,06,06037,Los Angeles County,060379201071,87.0,70.0,63.0,61.0,7.0,11.0,12.0,66.5,4.0
11519,sg:f96af3ca15664e6dae939a8eeed7ff81,St Gabriel Ethiopian Othodox Church,37.280029,-121.81983100000001,San Jose,CA,95111,06,06085,Santa Clara County,060855032082,115.0,115.0,76.0,54.0,24.0,27.0,33.0,95.5,4.0
11520,sg:f9846dcb1a294be49e9dd7ca97afdbe6,Calvary Chapel Perris Valley,33.827422999999996,-117.230796,Perris,CA,92571,06,06065,Riverside County,060650426201,33.0,43.0,31.0,26.0,5.0,14.0,17.0,37.0,3.0
11521,sg:f985a93491c54aa69029d354d641f17f,The Church of Jesus Christ of Latter day Saints,38.665376,-121.203227,Orangevale,CA,95662,06,06067,Sacramento County,060670082072,103.0,82.0,72.0,65.0,18.0,14.0,28.0,77.0,4.0
11522,sg:f98a3c59e9d04a7dae01ee6bfce986c5,The Church of Jesus Christ of Latter day Saints,37.757637,-122.480355,San Francisco,CA,94122,06,06075,San Francisco County,060750326023,83.0,106.0,84.0,51.0,23.0,25.0,31.0,95.0,4.0
11523,sg:f98ac1de7aca473aa08693ec83096c7e,Grace Assembly of God,37.967145,-121.25121100000001,Stockton,CA,95205,06,06077,San Joaquin County,060770018001,59.0,50.0,36.0,23.0,21.0,33.0,19.0,43.0,3.0
11524,sg:f98bbd5f1dae429985c932966f98a3c9,Chinmaya Mission San Jose,37.359303999999995,-121.809467,San Jose,CA,95127,06,06085,Santa Clara County,060855042023,92.0,85.0,61.0,253.0,0.0,0.0,81.0,73.0,4.0
11525,sg:f98ee49331024b19b9cd01a93dd3572c,The Church of Jesus Christ of Latter Day Saints,34.049083,-117.140551,Redlands,CA,92374,06,06071,San Bernardino County,060710084032,136.0,231.0,222.0,110.0,10.0,14.0,8.0,226.5,5.0
11526,sg:f995b7e0b4fa4234b72ecbd34d251f40,Masjed Al Shareef,33.795384999999996,-118.176069,Long Beach,CA,90806,06,06037,Los Angeles County,060375733001,37.0,49.0,56.0,34.0,19.0,19.0,22.0,52.5,4.0
11527,sg:f99f099d18ef4855a9ad68a821dab823,Christ Lutheran Church Elca,36.607516,-119.447929,Reedley,CA,93654,06,06019,Fresno County,060190066044,86.0,72.0,71.0,58.0,19.0,18.0,26.0,71.5,4.0
11528,sg:f9a958ee0bfb41a5a7b1d5db35229d17,New Wilton Church,34.051944,-118.295098,Los Angeles,CA,90006,06,06037,Los Angeles County,060372133202,73.0,69.0,64.0,49.0,36.0,27.0,37.0,66.5,4.0
11529,sg:f9acaf64415240ba800ef502e6072a53,The Church of Jesus Christ of Latter day Saints,37.469879999999996,-122.21347800000001,Redwood City,CA,94061,06,06081,San Mateo County,060816107002,31.0,23.0,16.0,8.0,12.0,18.0,16.0,19.5,1.0
11530,sg:f9b46c3e75ca426baece8d65df2b145c,The Church of Jesus Christ of Latter day Saints,32.777465,-117.10374399999999,San Diego,CA,92108,06,06073,San Diego County,060730020012,9.0,3.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0
11531,sg:f9c2f3a623df4042a288cdead45eb7b7,Tabernaculo Apostolico De Ontario,34.058797999999996,-117.651494,Ontario,CA,91762,06,06071,San Bernardino County,060710016004,38.0,41.0,27.0,28.0,21.0,22.0,18.0,34.0,3.0
11532,sg:f9c6fa5633144326bff6b76d14a4f24c,Grace Community Church,37.5007,-120.84239699999999,Turlock,CA,95380,06,06099,Stanislaus County,060990039062,34.0,22.0,23.0,18.0,17.0,7.0,14.0,22.5,2.0
11533,sg:f9cbaf5e748446aa9d1bade69fc070ce,Annadale Baptist Church,36.696529999999996,-119.557851,Sanger,CA,93657,06,06019,Fresno County,060190061002,81.0,78.0,81.0,62.0,22.0,28.0,42.0,79.5,4.0
11534,sg:f9d5228a6baa4fee96b2efbbe4c5a6f6,Faith Community Church,34.593272999999996,-118.14706699999999,Palmdale,CA,93551,06,06037,Los Angeles County,060379102012,60.0,64.0,75.0,54.0,11.0,17.0,26.0,69.5,4.0
11535,sg:f9db3980cd64417e90f220d86a469e2a,June Cobb Church of Religious Science,33.993209,-118.25423500000001,Los Angeles,CA,90011,06,06037,Los Angeles County,060372291001,41.0,39.0,36.0,17.0,19.0,24.0,20.0,37.5,3.0
11536,sg:f9e1420bfdc442d099bc8b7bccc40e11,Community Church at Holliston,34.146328000000004,-118.123277,Pasadena,CA,91106,06,06037,Los Angeles County,060374623023,37.0,39.0,32.0,23.0,5.0,5.0,11.0,35.5,3.0
11537,sg:f9e8a0becec242b1b8ce6067e93904b4,Kingdom Hall of Jehovah's Witnesses,33.684927,-117.99278999999999,Huntington Beach,CA,92648,06,06059,Orange County,060590993052,52.0,46.0,41.0,26.0,17.0,16.0,19.0,43.5,3.0
11538,sg:f9f942a1daf4491ebda5cfc18e08fdd1,St Matthew Baptist Church,37.296131,-120.490404,Merced,CA,95341,06,06047,Merced County,060470015022,24.0,23.0,22.0,17.0,14.0,10.0,1.0,22.5,2.0
