,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg
16328,sg:3e442083c86345bbb4c939060899d638,Immanuel United Methodist Church,34.111478999999996,-118.197974,Los Angeles,CA,90042,06,06037,Los Angeles County,060371835201
16329,sg:62b73d2ccd9b4d1b8ab7caa7431f1a98,Bayo Vista First Baptist Church,38.037781,-122.26736899999999,Rodeo,CA,94572,06,06013,Contra Costa County,060133580004
16330,sg:6599124f57c14c948a366bcdf2647782,Foundry Bible Fellowship,33.676328000000005,-117.89618,Costa Mesa,CA,92626,06,06059,Orange County,060590639042
16331,sg:78efb701bf574c02a51f6e5a2a47b24f,New Christian Life Baptist Church,33.940892,-118.265001,Los Angeles,CA,90003,06,06037,Los Angeles County,060372408003
16332,sg:97bbd4dbfa5e487eb668f099c5c4b554,Home of Christians La,34.066367,-118.12253999999999,Monterey Park,CA,91754,06,06037,Los Angeles County,060374817112
16333,sg:b4a96e3dd60443f4acadae2f2d205500,Granite Bay Seventh Day Adventist Church,38.818708,-121.30581299999999,Rocklin,CA,95765,06,06061,Placer County,060610213093
16334,sg:e69a6032957b4d5ea8fbe5cc84b54fd5,Calvary Chapel Of Santa Rosa,38.415242,-122.751884,Santa Rosa,CA,95407,06,06097,Sonoma County,060971533004
16335,sg:f6251f761b6349b796f828b084f745e0,Clovis Christian Church,36.81142,-119.65446299999999,Clovis,CA,93619,06,06019,Fresno County,060190059091
16336,sg:2de1a67af84c47109b97b7ff78614bc5,Community Baptist Church,32.696348,-117.11653999999999,San Diego,CA,92113,06,06073,San Diego County,060730035023
16337,sg:46e19bda7f2548be83021b84232dc92c,St Luke's Episcopal Church,34.102717999999996,-117.44283,Fontana,CA,92335,06,06071,San Bernardino County,060710028032
